ID,Years [a] (Average education years of fa...),Pop dens [#/km**2],Distance [km] (Radial distance from village ...),Soil_type_1,Soil_type_2,Soil_type_3,Soil_type_4,Soil_type_5,Soil_type_6,Soil_type_7,Soil_type_8,Soil_type_9,Soil_type_10,Soil_type_11,Soil_type_12,Code (scode),T_spr,T_sum,T_aut,T_wint,Precip_spr_mm_month,Precip_sum_mm_month,Precip_aut_mm_month,Precip_wint_mm_month,Index (Multiple crop),Ratio (of irrigated areas to total c...),Exch rate (Chinese Renminbi against the ...),Crop_niusd_USD_ha_a,Latitude_med
2.01E+11,7.75,140.492,70.189,0,0,1,0,0,0,0,1,0,0,0,0,11,-5.13,11.52,23.61,10.04,1.78,19.04,77.5,22.17,100,0.0161,683.1,66.23,40.5289
2.01E+11,6,140.492,70.189,0,0,1,0,0,0,0,1,0,0,0,0,11,-5.13,11.52,23.61,10.04,1.78,19.04,77.5,22.17,100,0,683.1,342.5,40.5289
2.01E+11,4,140.492,70.189,0,0,1,0,0,0,0,1,0,0,0,0,11,-5.13,11.52,23.61,10.04,1.78,19.04,77.5,22.17,100,0.0149,683.1,295.95,40.5289
2.01E+11,6,140.492,70.189,0,0,1,0,0,0,0,1,0,0,0,0,11,-5.13,11.52,23.61,10.04,1.78,19.04,77.5,22.17,100,0.1333,683.1,786.44,40.5289
2.01E+11,6,140.492,70.189,0,0,1,0,0,0,0,1,0,0,0,0,11,-5.13,11.52,23.61,10.04,1.78,19.04,77.5,22.17,100,0.0152,683.1,296.69,40.5289
2.01E+11,6,140.492,70.189,0,0,1,0,0,0,0,1,0,0,0,0,11,-5.13,11.52,23.61,10.04,1.78,19.04,77.5,22.17,100,0.0105,683.1,72.35,40.5289
2.01E+11,6,140.492,70.189,0,0,1,0,0,0,0,1,0,0,0,0,11,-5.13,11.52,23.61,10.04,1.78,19.04,77.5,22.17,100,0.0217,683.1,158.96,40.5289
2.01E+11,0,140.492,70.189,0,0,1,0,0,0,0,1,0,0,0,0,11,-5.13,11.52,23.61,10.04,1.78,19.04,77.5,22.17,100,0.2,683.1,2191.34,40.5289
2.01E+11,9,140.492,70.189,0,0,1,0,0,0,0,1,0,0,0,0,11,-5.13,11.52,23.61,10.04,1.78,19.04,77.5,22.17,100,0.0476,683.1,124.54,40.5289
2.01E+11,7.33,140.492,70.189,0,0,1,0,0,0,0,1,0,0,0,0,11,-5.13,11.52,23.61,10.04,1.78,19.04,77.5,22.17,100,0.012,683.1,277.68,40.5289
2.01E+11,6.75,140.492,70.189,0,0,1,0,0,0,0,1,0,0,0,0,11,-5.13,11.52,23.61,10.04,1.78,19.04,77.5,22.17,100,0.0164,683.1,340.85,40.5289
2.01E+11,9.75,140.492,70.189,0,0,1,0,0,0,0,1,0,0,0,0,11,-5.13,11.52,23.61,10.04,1.78,19.04,77.5,22.17,100,0.009,683.1,119.68,40.5289
2.01E+11,6,140.492,70.189,0,0,1,0,0,0,0,1,0,0,0,0,11,-5.13,11.52,23.61,10.04,1.78,19.04,77.5,22.17,100,0.0345,683.1,392.12,40.5289
2.01E+11,8.75,140.492,70.189,0,0,1,0,0,0,0,1,0,0,0,0,11,-5.13,11.52,23.61,10.04,1.78,19.04,77.5,22.17,93.75,0.0062,683.1,95.39,40.5289
2.01E+11,7.5,193.085,70.087,0,0,1,0,0,0,0,0,0,0,0,0,11,-1.35,14.05,25.66,13.06,3.08,23.91,122.76,26.07,100,0,683.1,4172.16,40.4532
2.01E+11,8,193.085,70.087,0,0,1,0,0,0,0,0,0,0,0,0,11,-1.35,14.05,25.66,13.06,3.08,23.91,122.76,26.07,100,0,683.1,5379.89,40.4532
2.01E+11,10.33,193.085,70.087,0,0,1,0,0,0,0,0,0,0,0,0,11,-1.35,14.05,25.66,13.06,3.08,23.91,122.76,26.07,100,0,683.1,4896.79,40.4532
2.01E+11,8.33,193.085,70.087,0,0,1,0,0,0,0,0,0,0,0,0,11,-1.35,14.05,25.66,13.06,3.08,23.91,122.76,26.07,100,0,683.1,2955.97,40.4532
2.01E+11,9,193.085,70.087,0,0,1,0,0,0,0,0,0,0,0,0,11,-1.35,14.05,25.66,13.06,3.08,23.91,122.76,26.07,100,0,683.1,4281.95,40.4532
2.01E+11,10.5,193.085,70.087,0,0,1,0,0,0,0,0,0,0,0,0,11,-1.35,14.05,25.66,13.06,3.08,23.91,122.76,26.07,100,0,683.1,4007.47,40.4532
2.01E+11,9,193.085,70.087,0,0,1,0,0,0,0,0,0,0,0,0,11,-1.35,14.05,25.66,13.06,3.08,23.91,122.76,26.07,100,0,683.1,4357.95,40.4532
2.01E+11,11.33,193.085,70.087,0,0,1,0,0,0,0,0,0,0,0,0,11,-1.35,14.05,25.66,13.06,3.08,23.91,122.76,26.07,100,0,683.1,5270.09,40.4532
2.01E+11,8,193.085,70.087,0,0,1,0,0,0,0,0,0,0,0,0,11,-1.35,14.05,25.66,13.06,3.08,23.91,122.76,26.07,100,0,683.1,3260.2,40.4532
2.01E+11,8.75,193.085,70.087,0,0,1,0,0,0,0,0,0,0,0,0,11,-1.35,14.05,25.66,13.06,3.08,23.91,122.76,26.07,100,0,683.1,4791,40.4532
2.01E+11,6.67,193.085,70.087,0,0,1,0,0,0,0,0,0,0,0,0,11,-1.35,14.05,25.66,13.06,3.08,23.91,122.76,26.07,100,0,683.1,5379.89,40.4532
2.01E+11,12.25,193.085,70.087,0,0,1,0,0,0,0,0,0,0,0,0,11,-1.35,14.05,25.66,13.06,3.08,23.91,122.76,26.07,100,0,683.1,4721.12,40.4532
2.01E+11,2,193.085,70.087,0,0,1,0,0,0,0,0,0,0,0,0,11,-1.35,14.05,25.66,13.06,3.08,23.91,122.76,26.07,100,0,683.1,4977.3,40.4532
2.01E+11,12.67,193.085,70.087,0,0,1,0,0,0,0,0,0,0,0,0,11,-1.35,14.05,25.66,13.06,3.08,23.91,122.76,26.07,100,0,683.1,5449.76,40.4532
2.01E+11,6,193.085,70.087,0,0,1,0,0,0,0,0,0,0,0,0,11,-1.35,14.05,25.66,13.06,3.08,23.91,122.76,26.07,300,0,683.1,15810.28,40.4532
2.01E+11,10,193.085,70.087,0,0,1,0,0,0,0,0,0,0,0,0,11,-1.35,14.05,25.66,13.06,3.08,23.91,122.76,26.07,300,0,683.1,16029.84,40.4532
2.01E+11,9,193.085,70.087,0,0,1,0,0,0,0,0,0,0,0,0,11,-1.35,14.05,25.66,13.06,3.08,23.91,122.76,26.07,100,0,683.1,5270.09,40.4532
2.01E+11,11,193.085,70.087,0,0,1,0,0,0,0,0,0,0,0,0,11,-1.35,14.05,25.66,13.06,3.08,23.91,122.76,26.07,100,0,683.1,5306.7,40.4532
2.01E+11,10.5,193.085,70.087,0,0,1,0,0,0,0,0,0,0,0,0,11,-1.35,14.05,25.66,13.06,3.08,23.91,122.76,26.07,100,0,683.1,3513.4,40.4532
2.01E+11,10,193.085,70.087,0,0,1,0,0,0,0,0,0,0,0,0,11,-1.35,14.05,25.66,13.06,3.08,23.91,122.76,26.07,100,0,683.1,5270.09,40.4532
2.01E+11,11,193.085,70.087,0,0,1,0,0,0,0,0,0,0,0,0,11,-1.35,14.05,25.66,13.06,3.08,23.91,122.76,26.07,100,0,683.1,4982.94,40.4532
2.01E+11,10.25,527.307,110.352,0,0,0,0,0,0,0,1,0,0,0,0,12,-3.81,12.82,24.81,11.54,3.31,26.92,156.89,33.24,100,0,683.1,4874.84,40.2218
2.01E+11,8.25,554.14,27.502,0,0,0,0,0,0,0,1,0,0,0,0,12,-1.57,13.85,25.83,13.47,2.97,23.04,117.96,27.57,200,0,683.1,2086.08,39.3841
2.01E+11,10,554.14,27.502,0,0,0,0,0,0,0,1,0,0,0,0,12,-1.57,13.85,25.83,13.47,2.97,23.04,117.96,27.57,266.6667,0,683.1,1114.37,39.3841
2.01E+11,8.67,554.14,27.502,0,0,0,0,0,0,0,1,0,0,0,0,12,-1.57,13.85,25.83,13.47,2.97,23.04,117.96,27.57,214.2857,0,683.1,1312.43,39.3841
2.01E+11,8.6,554.14,27.502,0,0,0,0,0,0,0,1,0,0,0,0,12,-1.57,13.85,25.83,13.47,2.97,23.04,117.96,27.57,200,0,683.1,3076.86,39.3841
2.01E+11,9,554.14,27.502,0,0,0,0,0,0,0,1,0,0,0,0,12,-1.57,13.85,25.83,13.47,2.97,23.04,117.96,27.57,150,0,683.1,3357.76,39.3841
2.01E+11,9.67,554.14,27.502,0,0,0,0,0,0,0,1,0,0,0,0,12,-1.57,13.85,25.83,13.47,2.97,23.04,117.96,27.57,145.8333,0,683.1,5382.87,39.3841
2.01E+11,6.67,554.14,27.502,0,0,0,0,0,0,0,1,0,0,0,0,12,-1.57,13.85,25.83,13.47,2.97,23.04,117.96,27.57,200,1,683.1,2338.05,39.3841
2.01E+11,7.67,554.14,27.502,0,0,0,0,0,0,0,1,0,0,0,0,12,-1.57,13.85,25.83,13.47,2.97,23.04,117.96,27.57,147.0588,1,683.1,6312.55,39.3841
2.01E+11,0,554.14,27.502,0,0,0,0,0,0,0,1,0,0,0,0,12,-1.57,13.85,25.83,13.47,2.97,23.04,117.96,27.57,208.3333,0,683.1,2161.06,39.3841
2.01E+11,7.8,554.14,27.502,0,0,0,0,0,0,0,1,0,0,0,0,12,-1.57,13.85,25.83,13.47,2.97,23.04,117.96,27.57,200,1,683.1,1884.06,39.3841
2.01E+11,10.33,554.14,27.502,0,0,0,0,0,0,0,1,0,0,0,0,12,-1.57,13.85,25.83,13.47,2.97,23.04,117.96,27.57,105.2632,0,683.1,2069.44,39.3841
2.01E+11,7.33,554.14,27.502,0,0,0,0,0,0,0,1,0,0,0,0,12,-1.57,13.85,25.83,13.47,2.97,23.04,117.96,27.57,154.7619,0,683.1,4916.66,39.3841
2.01E+11,7,554.14,27.502,0,0,0,0,0,0,0,1,0,0,0,0,12,-1.57,13.85,25.83,13.47,2.97,23.04,117.96,27.57,187.5,0,683.1,2398.99,39.3841
2.01E+11,5.6,554.14,27.502,0,0,0,0,0,0,0,1,0,0,0,0,12,-1.57,13.85,25.83,13.47,2.97,23.04,117.96,27.57,118.2796,0,683.1,3792.55,39.3841
2.01E+11,6.6,554.14,27.502,0,0,0,0,0,0,0,1,0,0,0,0,12,-1.57,13.85,25.83,13.47,2.97,23.04,117.96,27.57,200,0,683.1,2588.93,39.3841
2.01E+11,7.5,554.14,27.502,0,0,0,0,0,0,0,1,0,0,0,0,12,-1.57,13.85,25.83,13.47,2.97,23.04,117.96,27.57,119.0476,0,683.1,5049.32,39.3841
2.01E+11,6.5,554.14,27.502,0,0,0,0,0,0,0,1,0,0,0,0,12,-1.57,13.85,25.83,13.47,2.97,23.04,117.96,27.57,162.5,0,683.1,2248.02,39.3841
2.01E+11,5,554.14,27.502,0,0,0,0,0,0,0,1,0,0,0,0,12,-1.57,13.85,25.83,13.47,2.97,23.04,117.96,27.57,133.3333,1,683.1,4569.98,39.3841
2.01E+11,8.25,554.14,27.502,0,0,0,0,0,0,0,1,0,0,0,0,12,-1.57,13.85,25.83,13.47,2.97,23.04,117.96,27.57,200,0,683.1,1195.92,39.3841
2.01E+11,8,554.14,27.502,0,0,0,0,0,0,0,1,0,0,0,0,12,-1.57,13.85,25.83,13.47,2.97,23.04,117.96,27.57,178.5714,1,683.1,3350.95,39.3841
2.01E+11,6,554.14,27.502,0,0,0,0,0,0,0,1,0,0,0,0,12,-1.57,13.85,25.83,13.47,2.97,23.04,117.96,27.57,166.6667,0,683.1,2946.59,39.3841
2.01E+11,9.67,554.14,27.502,0,0,0,0,0,0,0,1,0,0,0,0,12,-1.57,13.85,25.83,13.47,2.97,23.04,117.96,27.57,187.5,1,683.1,2457.66,39.3841
2.01E+11,6.8,554.14,27.502,0,0,0,0,0,0,0,1,0,0,0,0,12,-1.57,13.85,25.83,13.47,2.97,23.04,117.96,27.57,191.0112,1,683.1,2138.78,39.3841
2.01E+11,2,554.14,27.502,0,0,0,0,0,0,0,1,0,0,0,0,12,-1.57,13.85,25.83,13.47,2.97,23.04,117.96,27.57,187.5,1,683.1,1698.37,39.3841
2.01E+11,6,554.14,27.502,0,0,0,0,0,0,0,1,0,0,0,0,12,-1.57,13.85,25.83,13.47,2.97,23.04,117.96,27.57,177.7778,1,683.1,11369.95,39.3841
2.01E+11,9,554.14,27.502,0,0,0,0,0,0,0,1,0,0,0,0,12,-1.57,13.85,25.83,13.47,2.97,23.04,117.96,27.57,187.5,0,683.1,1980.4,39.3841
2.01E+11,7.75,554.14,27.502,0,0,0,0,0,0,0,1,0,0,0,0,12,-1.57,13.85,25.83,13.47,2.97,23.04,117.96,27.57,214.2857,1,683.1,2753.61,39.3841
2.01E+11,6,554.14,27.502,0,0,0,0,0,0,0,1,0,0,0,0,12,-1.57,13.85,25.83,13.47,2.97,23.04,117.96,27.57,208.3333,0,683.1,2095.18,39.3841
2.01E+11,2,554.14,27.502,0,0,0,0,0,0,0,1,0,0,0,0,12,-1.57,13.85,25.83,13.47,2.97,23.04,117.96,27.57,125,0,683.1,3678.54,39.3841
2.01E+11,9.25,554.14,27.502,0,0,0,0,0,0,0,1,0,0,0,0,12,-1.57,13.85,25.83,13.47,2.97,23.04,117.96,27.57,159.5745,0,683.1,3595.6,39.3841
2.01E+11,6.5,554.14,27.502,0,0,0,0,0,0,0,1,0,0,0,0,12,-1.57,13.85,25.83,13.47,2.97,23.04,117.96,27.57,162.5,0,683.1,1386.42,39.3841
2.01E+11,9.5,554.14,27.502,0,0,0,0,0,0,0,1,0,0,0,0,12,-1.57,13.85,25.83,13.47,2.97,23.04,117.96,27.57,208.3333,0,683.1,1796.5,39.3841
