Year,cropland_China,cropland_Beijing,cropland_Tianjin,cropland_Hebei,cropland_Shanxi,cropland_Inner_Mongolia,cropland_Liaoning,cropland_Jilin,cropland_Heilongjiang,cropland_Shanghai,cropland_Jiangsu,cropland_Zhejiang,cropland_Anhui,cropland_Fujian,cropland_Jiangxi,cropland_Shandong,cropland_Henan,cropland_Hubei,cropland_Hunan,cropland_Guangdong,cropland_Guangxi,cropland_Hainan,cropland_Chongqing,cropland_Sichuan,cropland_Guizhou,cropland_Yunnan,cropland_Xizang,cropland_Shaanxi,cropland_Gansu,cropland_Qinghai,cropland_Ningxia,cropland_Xinjiang,grain_China,grain_Beijing,grain_Tianjin,grain_Hebei,grain_Shanxi,grain_Inner_Mongolia,grain_Liaoning,grain_Jilin,grain_Heilongjiang,grain_Shanghai,grain_Jiangsu,grain_Zhejiang,grain_Anhui,grain_Fujian,grain_Jiangxi,grain_Shandong,grain_Henan,grain_Hubei,grain_Hunan,grain_Guangdong,grain_Guangxi,grain_Hainan,grain_Chongqing,grain_Sichuan,grain_Guizhou,grain_Yunnan,grain_Xizang,grain_Shaanxi,grain_Gansu,grain_Qinghai,grain_Ningxia,grain_Xinjiang
1987,98562.265,417.73,438.47,6576.53,3719.33,4850.93,3492.27,3960.53,8858.73,330.87,4579.8,1744.93,4396.93,1243.93,2361.87,6924.33,6972.6,3518,3318,2963.93,2564.93,431.6,2242,6325.6,1857.27,2790.87,222,3562.67,3479.07,564.6,790.93,3061,111267.77,494.7,457.7,6687.9,3232,3556.5,3130.8,3485.7,7411.9,442.1,648.3,3235.4,6151,1961.5,3647.9,8215.1,9365.2,5143.5,5150.9,4419.3,3539.5,0,0,9414.5,2302.9,3364.5,172.1,4108.2,2820.5,384.5,682.5,1788.2
1988,97963.801,415.87,433.27,6567.47,3706.6,4871.2,3478.53,3951.33,8833.73,327.2,4568.8,1736.47,4382.13,1240.6,2358.6,6896.27,6956.4,3498.47,3326.4,2510.13,2569.4,431.6,2242,6314.8,1854.6,2803.2,222.07,3551.07,3475.6,568.33,795.8,3075.87,110122.7,508.1,450.5,6659,3203.1,3636.1,3101.3,3422.5,6886.3,424.5,6397.4,3209.9,6155.1,1961.9,3588.7,8093.7,9053.8,5087.9,5196.3,3847.3,3510.7,496.9,0,9521.2,2364.7,3417.9,189.7,4073.8,2804.9,385.7,703.5,1794.5
1989,97898,414.47,432.27,6560.47,3701.8,4911.53,3470.4,3935.53,8826.53,324,4562.33,1731.13,4373,1238.47,2355.47,6867.87,6944.4,3486.6,3318.6,2524.67,2578.47,433.53,2242,6307.2,1854,2822.8,222.33,3541.07,3477.13,572,795,3072.93,112204.67,483,454.7,6760.5,3293.7,3721.1,3083.5,3430.9,7261.7,416.9,6454.5,3222.7,6203.8,2045.1,3693.9,8058.2,9262,5188.9,5330.5,3967.2,3596.9,547.3,0,9671.7,2467.9,3527.1,189.6,4106.2,2824.8,395.2,705.7,1839.5
1990,97915,412.7,431.5,6556.1,3692.5,4965.7,3467.2,3939.3,8831.1,323.2,4557.9,1723.4,4365.5,1236.5,2349.5,6852.6,6933.2,3476.8,3312.2,2524.6,2595.9,435.1,2242,6298.9,1854.2,2845.4,222.3,3533,3476.4,577.6,795.9,3086.8,113465.87,484.4,457.9,6827.8,3290.3,3874.5,3121.6,3525.9,7420,417.1,6363,3266,6246.1,2080.6,3699.3,8151.9,9316.1,5200,5365.7,3996.3,3639.9,567.5,0,9827.7,2543.2,3622.3,191.7,4134.7,2875.1,400.3,723.5,1835.5
1991,97895.8,411.2,431.6,6549.7,3687.9,5004.7,3460.2,3937.9,8852.3,320.9,4550,1714.9,4353.5,1234.7,2343.7,6834.1,6920,3458.5,3310.2,2519.8,2612.9,437.3,2242,6280.7,1852.9,2858.4,222.7,3521.1,3479.3,579.2,797.6,3115.9,112313.6,483.27,457.8,6798,3199.47,3878.47,3089.87,3542,7426.87,415.47,6202.8,3267.4,5954.53,2087.2,3600.67,8008.13,9040.47,5194.53,5365.2,3871.47,3567.73,569.13,0,9940.4,2624.87,3618.93,191.93,4088.4,2840.07,401.93,728.73,1777.87
1992,97667.8,408.8,429.6,6543.7,3680.5,5081.7,3452.2,3931.6,8904.6,317.8,4521.9,1691.2,4334.1,1228.7,2336.9,6797.8,6887.4,3421.5,3295.9,2443.6,2610.8,435.7,2242,6255.5,1849,2857.7,223.6,3487.6,3481.8,579.5,801.1,3134,110559.7,477.3,446.1,6625.9,3196.1,3925.1,3051.4,3536.8,7348.4,392.4,6180.8,3164.2,5873,2085,3446.2,7918.6,8804.7,4955.3,5243.6,3640.3,3521.8,585.4,0,9906.6,2635.3,3582,192.3,4059.9,2893.5,401.3,729.6,1740.8
1993,97343.5,405.8,428.8,6536,3669.4,5171.7,3429.7,3937.8,8913.2,301.8,4495.2,1661.2,4317.4,1219.4,2326.1,6758.8,6870.4,3392.5,3272.9,2356.5,2606.6,431.5,2242,6231.5,1845.3,2854.7,223.6,3458.4,3480.6,581.4,803.1,3120.2,110508.7,455.5,451.5,7040.5,3280.5,3987.1,3049.1,3526.7,7557.6,363.1,6029.7,2844.5,6038.2,1967.2,3360.1,8213.4,8969,4812.1,5050.5,3334.2,3538.8,602.3,0,9897.8,2697.1,3527,192.3,4049.3,2846,389.8,730.9,1706.9
1994,97148.68,402.1,427.35,6524.33,3656.5,5310.12,3411.23,3955.41,8909.33,293.8,4464,1635.47,4302.82,1210.42,2314.98,6718.05,6829.64,3375.6,3258.43,2324.73,2601.82,428.69,2242,6214.4,1841.01,2857.37,222.02,3421,3481.08,584.9,805.93,3124.15,109543.7,430.1,422.7,6801.7,3235.4,4027,3026.4,3566.7,7496.4,349.7,5742.9,2741,5796.5,2002.2,3430.6,8014.1,8810.9,4796.8,5077.4,3412.5,3633.6,563.5,0,9869.1,2824.1,3668.9,187,4103.8,2882.8,386.9,736.7,1506.4
1995,97213,399.5,426.1,6517.3,3645.1,5491.4,3389.7,3953.2,8995.3,290,4448.3,1617.8,4291.1,1204,2308.4,6696,6805.8,3358,3249.7,2317.3,2614.2,429.2,2242,6189.6,1840,2870.6,222.1,3393.4,3482.5,589.9,807.2,3128.3,110060.4,434.1,443.3,6829.5,3151.5,4143.2,3030.9,3576.9,7500.2,343.9,5755.2,2814.4,5852.5,2017.3,3509.3,8131.6,8810,4776.7,5115.6,3472.3,3662.7,574.9,0,9933.7,2864.5,3643,188.2,3807.7,2928.7,384.3,761.8,1602.5
1996,132281.3,343.9,485.6,6883.3,4588.6,8201,4174.8,5578.4,11773,315.1,5061.7,2125.3,5971.7,1434.7,2993.4,7689.3,8110.3,4949.5,3953,3272.2,4407.9,762.1,2242,9169.1,4903.5,6421.6,362.6,5140.5,5024.7,688,1268.8,3985.7,112547.92,427,451.5,7137.3,3243,4424.3,3073.1,3624.5,7778.8,357.4,5877.4,2877.2,6029,2031.9,3570.6,8237.3,8965.3,4880.3,5133.9,3524.6,3708,571.6,0,10027.6,2890.1,3698.2,191.9,4052.9,2925.7,394.8,781.9,1660.8
