承储企业,年份,级别,省份,品种名称,作物种类,储备量（万公斤）
合肥丰乐种业股份有限公司,2017,国家级,安徽,丰两优香一号,杂交水稻,50
合肥丰乐种业股份有限公司,2017,国家级,安徽,丰乐21,杂交玉米,50
天禾农业科技集团股份有限公司,2017,国家级,安徽,天两优0501,杂交水稻,35
天禾农业科技集团股份有限公司,2017,国家级,安徽,宁粳2号,常规水稻,80
北京龙耘种业有限公司,2017,国家级,北京,中单28,杂交玉米,5
北京龙耘种业有限公司,2017,国家级,北京,京农科728,杂交玉米,25
北京龙耘种业有限公司,2017,国家级,北京,中黄13,大豆,5
北京龙耘种业有限公司,2017,国家级,北京,铁豆37,大豆,10
北京顺鑫农科种业科技有限公司,2017,国家级,北京,京单68,杂交玉米,20
北京顺鑫农科种业科技有限公司,2017,国家级,北京,京单28,杂交玉米,10
福建六三种业有限责任公司,2017,国家级,福建,T78优2155,杂交水稻,3
福建六三种业有限责任公司,2017,国家级,福建,金优明100,杂交水稻,3
福建六三种业有限责任公司,2017,国家级,福建,金优2155,杂交水稻,1
福建六三种业有限责任公司,2017,国家级,福建,中优2155,杂交水稻,1
福建六三种业有限责任公司,2017,国家级,福建,两优1259,杂交水稻,2
福建六三种业有限责任公司,2017,国家级,福建,明两优527,杂交水稻,2
福建六三种业有限责任公司,2017,国家级,福建,特优1259,杂交水稻,1
福建六三种业有限责任公司,2017,国家级,福建,广优明118,杂交水稻,1
福建六三种业有限责任公司,2017,国家级,福建,广优9939,杂交水稻,1
福建六三种业有限责任公司,2017,国家级,福建,广优3186,杂交水稻,1
福建六三种业有限责任公司,2017,国家级,福建,谷优1259,杂交水稻,2
福建六三种业有限责任公司,2017,国家级,福建,谷优明占,杂交水稻,1
福建六三种业有限责任公司,2017,国家级,福建,II优明118,杂交水稻,1
中种集团福建农嘉种业股份有限公司,2017,国家级,福建,深优957,杂交水稻,6
中种集团福建农嘉种业股份有限公司,2017,国家级,福建,特优009,杂交水稻,3
中种集团福建农嘉种业股份有限公司,2017,国家级,福建,宜优673,杂交水稻,2
中种集团福建农嘉种业股份有限公司,2017,国家级,福建,两优616,杂交水稻,7
中种集团福建农嘉种业股份有限公司,2017,国家级,福建,两优航2号,杂交水稻,3
中种集团福建农嘉种业股份有限公司,2017,国家级,福建,特优175,杂交水稻,1
中种集团福建农嘉种业股份有限公司,2017,国家级,福建,川优673,杂交水稻,1
中种集团福建农嘉种业股份有限公司,2017,国家级,福建,泰丰优656,杂交水稻,2
白银金穗种业有限公司,2017,国家级,甘肃,金穗3号,杂交玉米,45
白银金穗种业有限公司,2017,国家级,甘肃,金穗1203,杂交玉米,10
甘肃定西百泉马铃薯有限公司,2017,国家级,甘肃,新大坪,马铃薯,30
甘肃定西百泉马铃薯有限公司,2017,国家级,甘肃,陇薯3号,马铃薯,20
甘肃种业有限公司,2017,国家级,甘肃,甘玉801,杂交玉米,20
甘肃种业有限公司,2017,国家级,甘肃,豫玉22号,杂交玉米,35
会宁丰农种业有限责任公司,2017,国家级,甘肃,定甜荞1号,杂粮杂豆,10
会宁丰农种业有限责任公司,2017,国家级,甘肃,定豌4号,杂粮杂豆,10
广东省金稻种业有限公司,2017,国家级,广东,五优308,杂交水稻,20
广东省金稻种业有限公司,2017,国家级,广东,五丰优615,杂交水稻,5
广东省金稻种业有限公司,2017,国家级,广东,天优3618,杂交水稻,5
广东粤良种业有限公司,2017,国家级,广东,恒丰优华占,杂交水稻,20
广东粤良种业有限公司,2017,国家级,广东,粤晶丝苗2号,常规水稻,10
广东粤良种业有限公司,2017,国家级,广东,黄莉占,常规水稻,15
广西恒茂农业科技有限公司,2017,国家级,广西,和两优1号,杂交水稻,50
广西恒茂农业科技有限公司,2017,国家级,广西,Y两优5867,杂交水稻,20
广西兆和种业有限公司,2017,国家级,广西,H两优991,杂交水稻,30
广西兆和种业有限公司,2017,国家级,广西,H两优6839,杂交水稻,20
广西兆和种业有限公司,2017,国家级,广西,桂单0810,杂交玉米,15
贵州金农科技有限责任公司,2017,国家级,贵州,金优785,杂交水稻,4
贵州金农科技有限责任公司,2017,国家级,贵州,协优385,杂交水稻,4
贵州金农科技有限责任公司,2017,国家级,贵州,民优93,杂交水稻,4
贵州金农科技有限责任公司,2017,国家级,贵州,金优431,杂交水稻,3
贵州金农科技有限责任公司,2017,国家级,贵州,黔玉三号,杂交玉米,10
贵州金农科技有限责任公司,2017,国家级,贵州,金玉818,杂交玉米,20
贵州卓豪农业科技有限公司,2017,国家级,贵州,G优298,杂交水稻,10
贵州卓豪农业科技有限公司,2017,国家级,贵州,宜香优196,杂交水稻,5
贵州卓豪农业科技有限公司,2017,国家级,贵州,贵卓玉9号,杂交玉米,20
遵义农资（集团）农之本种业有限责任公司,2017,国家级,贵州,裕玉207,杂交玉米,30
遵义农资（集团）农之本种业有限责任公司,2017,国家级,贵州,裕单99,杂交玉米,20
海南广陵高科实业有限公司,2017,国家级,海南,华893S,水稻亲本,10
海南广陵高科实业有限公司,2017,国家级,海南,广陵优2585,杂交水稻,3
海南广陵高科实业有限公司,2017,国家级,海南,福龙两优3381,杂交水稻,3
海南广陵高科实业有限公司,2017,国家级,海南,龙两优031,杂交水稻,2
海南广陵高科实业有限公司,2017,国家级,海南,中科黑糯1号,常规水稻,2
海南神农基因科技股份有限公司,2017,国家级,海南,博II优506,杂交水稻,10
海南神农基因科技股份有限公司,2017,国家级,海南,神农（稻）326,杂交水稻,10
承德裕丰种业有限公司,2017,国家级,河北,承玉18,杂交玉米,15
承德裕丰种业有限公司,2017,国家级,河北,承玉358,杂交玉米,20
承德裕丰种业有限公司,2017,国家级,河北,农大364,杂交玉米,15
河北省宽城种业有限责任公司,2017,国家级,河北,宽诚60,杂交玉米,10
河北省宽城种业有限责任公司,2017,国家级,河北,宽诚15,杂交玉米,10
河北巡天农业科技有限公司,2017,国家级,河北,巡天1102,杂交玉米,20
河北巡天农业科技有限公司,2017,国家级,河北,巡天2008,杂交玉米,10
河北巡天农业科技有限公司,2017,国家级,河北,张杂谷3号,杂粮杂豆,15
河北巡天农业科技有限公司,2017,国家级,河北,张杂谷5号,杂粮杂豆,15
河北巡天农业科技有限公司,2017,国家级,河北,张杂谷6号,杂粮杂豆,10
河北巡天农业科技有限公司,2017,国家级,河北,张杂谷13号,杂粮杂豆,10
河北巡天农业科技有限公司,2017,国家级,河北,荷兰15,马铃薯,40
河北巡天农业科技有限公司,2017,国家级,河北,冀张薯8号,马铃薯,10
河北巡天农业科技有限公司,2017,国家级,河北,冀张薯12号,马铃薯,10
河南金苑种业有限公司,2017,国家级,河南,伟科702,杂交玉米,55
河南省豫玉种业股份有限公司,2017,国家级,河南,美豫5号,杂交玉米,50
河南先天下种业有限公司,2017,国家级,河南,中绿1号,杂粮杂豆,30
河南永优种业科技有限公司,2017,国家级,河南,浚单29,杂交玉米,50
北安市大龙种业有限责任公司,2017,国家级,黑龙江,龙达1号,大豆,40
北大荒垦丰种业股份有限公司,2017,国家级,黑龙江,德美亚1号,杂交玉米,25
讷河市鑫丰种业有限责任公司,2017,国家级,黑龙江,鑫科玉1号,杂交玉米,20
讷河市鑫丰种业有限责任公司,2017,国家级,黑龙江,北豆51,大豆,40
讷河市鑫丰种业有限责任公司,2017,国家级,黑龙江,华疆2号,大豆,40
讷河市鑫丰种业有限责任公司,2017,国家级,黑龙江,克新13,马铃薯,25
齐齐哈尔市富尔农艺有限公司,2017,国家级,黑龙江,富单2号,杂交玉米,20
齐齐哈尔市富尔农艺有限公司,2017,国家级,黑龙江,龙粳29,常规水稻,20
北大荒垦丰种业股份有限公司,2017,国家级,黑龙江农垦,三江1号,常规水稻,15
北大荒垦丰种业股份有限公司,2017,国家级,黑龙江农垦,绥玉7号,杂交玉米,35
北大荒垦丰种业股份有限公司,2017,国家级,黑龙江农垦,德美亚2号,杂交玉米,10
北大荒垦丰种业股份有限公司,2017,国家级,黑龙江农垦,黑河43,大豆,30
北大荒垦丰种业股份有限公司,2017,国家级,黑龙江农垦,北豆14号,大豆,30
北大荒垦丰种业股份有限公司,2017,国家级,黑龙江农垦,北豆42,大豆,10
北大荒垦丰种业股份有限公司,2017,国家级,黑龙江农垦,垦鉴豆28号,大豆,20
北大荒垦丰种业股份有限公司,2017,国家级,黑龙江农垦,华疆2号,大豆,10
湖北康农种业股份有限公司,2017,国家级,湖北,康农玉901,杂交玉米,50
湖北中香农业科技股份有限公司,2017,国家级,湖北,广两优香66,杂交水稻,50
武汉国英种业有限责任公司,2017,国家级,湖北,珞优8号,杂交水稻,50
武汉惠华三农种业有限公司,2017,国家级,湖北,两优619,杂交水稻,45
武汉武大天源生物科技股份有限公司,2017,国家级,湖北,天两优616,杂交水稻,25
武汉武大天源生物科技股份有限公司,2017,国家级,湖北,H两优30,杂交水稻,20
湖南洞庭高科种业股份有限公司,2017,国家级,湖南,岳优9113,杂交水稻,10
湖南洞庭高科种业股份有限公司,2017,国家级,湖南,岳优360,杂交水稻,20
湖南洞庭高科种业股份有限公司,2017,国家级,湖南,C两优018,杂交水稻,5
湖南洞庭高科种业股份有限公司,2017,国家级,湖南,盛泰优9712,杂交水稻,5
湖南洞庭高科种业股份有限公司,2017,国家级,湖南,岳4A,水稻亲本,5
湖南桃花源农业科技股份有限公司,2017,国家级,湖南,岳优518,杂交水稻,20
湖南桃花源农业科技股份有限公司,2017,国家级,湖南,C两优343,杂交水稻,5
湖南桃花源农业科技股份有限公司,2017,国家级,湖南,C两优87,杂交水稻,5
湖南桃花源农业科技股份有限公司,2017,国家级,湖南,Y两优143,杂交水稻,10
湖南桃花源农业科技股份有限公司,2017,国家级,湖南,C815S,水稻亲本,5
湖南希望种业科技股份有限公司,2017,国家级,湖南,Y两优6号,杂交水稻,15
湖南希望种业科技股份有限公司,2017,国家级,湖南,Y两优1998,杂交水稻,15
湖南希望种业科技股份有限公司,2017,国家级,湖南,N两优1号,杂交水稻,10
湖南希望种业科技股份有限公司,2017,国家级,湖南,望S,水稻亲本,2.5
湖南希望种业科技股份有限公司,2017,国家级,湖南,N111S,水稻亲本,2.5
袁隆平农业高科技股份有限公司,2017,国家级,湖南,丰源优272,杂交水稻,15
袁隆平农业高科技股份有限公司,2017,国家级,湖南,陵两优211,杂交水稻,10
袁隆平农业高科技股份有限公司,2017,国家级,湖南,C两优608,杂交水稻,10
袁隆平农业高科技股份有限公司,2017,国家级,湖南,Y两优1号,杂交水稻,15
袁隆平农业高科技股份有限公司,2017,国家级,湖南,准两优608,杂交水稻,10
袁隆平农业高科技股份有限公司,2017,国家级,湖南,中嘉早17,常规水稻,15
袁隆平农业高科技股份有限公司,2017,国家级,湖南,华润2号,常规水稻,15
袁隆平农业高科技股份有限公司,2017,国家级,湖南,准S,水稻亲本,3
袁隆平农业高科技股份有限公司,2017,国家级,湖南,P88S,水稻亲本,2
吉林吉农高新技术发展股份有限公司,2017,国家级,吉林,吉单27号,杂交玉米,30
吉林吉农高新技术发展股份有限公司,2017,国家级,吉林,吉粳88号,常规水稻,15
吉林吉农高新技术发展股份有限公司,2017,国家级,吉林,吉杂124,杂粮杂豆,7
吉林吉农高新技术发展股份有限公司,2017,国家级,吉林,吉杂127,杂粮杂豆,8
吉林省吉东种业有限责任公司,2017,国家级,吉林,吉东56,杂交玉米,40
吉林省平安种业有限公司,2017,国家级,吉林,平安169,杂交玉米,40
江苏红旗种业股份有限公司,2017,国家级,江苏,两优0367,杂交水稻,20
江苏明天种业科技股份有限公司,2017,国家级,江苏,内2优6号,杂交水稻,18
江苏明天种业科技股份有限公司,2017,国家级,江苏,II-32A,水稻亲本,1
江苏明天种业科技股份有限公司,2017,国家级,江苏,粤泰A,水稻亲本,1
江苏省大华种业集团有限公司,2017,国家级,江苏,苏玉34,杂交玉米,20
江苏中江种业股份有限公司,2017,国家级,江苏,武运粳27,常规水稻,35
江苏中江种业股份有限公司,2017,国家级,江苏,新两优6380,杂交水稻,20
江苏中江种业股份有限公司,2017,国家级,江苏,深两优9310,杂交水稻,30
江西金山种业有限公司,2017,国家级,江西,荣优225,杂交水稻,20
江西金山种业有限公司,2017,国家级,江西,荣优7号,杂交水稻,5
江西金山种业有限公司,2017,国家级,江西,优I608,杂交水稻,5
江西科源种业有限公司,2017,国家级,江西,中嘉早17,常规水稻,5
江西科源种业有限公司,2017,国家级,江西,江早361,常规水稻,15
江西科源种业有限公司,2017,国家级,江西,Y两优5867,杂交水稻,5
