申请单位,作物名称,用途,申请日期
辽宁东亚农业发展有限公司,白菜,对外制种,2022/1/11
辽宁东亚农业发展有限公司,萝卜,对外制种,2022/1/11
辽宁东亚农业发展有限公司,辣椒,对外制种,2022/1/11
江苏神农大丰种业科技有限公司,稻,大田生产,2022/1/14
安徽荃银种业科技有限公司,玉米,大田生产,2022/2/24
重庆中一种业有限公司,稻,大田生产,2022/3/11
重庆中一种业有限公司,稻,大田生产,2022/3/11
重庆中一种业有限公司,稻,大田生产,2022/3/11
重庆中一种业有限公司,稻,大田生产,2022/3/11
重庆中一种业有限公司,稻,大田生产,2022/3/11
重庆中一种业有限公司,稻,大田生产,2022/3/11
重庆中一种业有限公司,稻,大田生产,2022/3/11
重庆中一种业有限公司,稻,大田生产,2022/3/11
四川金安特农业股份有限公司,稻,大田生产,2022/4/11
沈阳国丰种苗有限公司,胡萝卜,对外制种,2022/4/9
沈阳国丰种苗有限公司,胡萝卜,对外制种,2022/4/9
沈阳国丰种苗有限公司,胡萝卜,对外制种,2022/4/9
沈阳国丰种苗有限公司,胡萝卜,对外制种,2022/4/9
沈阳国丰种苗有限公司,欧芹,对外制种,2022/4/9
沈阳国丰种苗有限公司,欧芹,对外制种,2022/4/9
沈阳国丰种苗有限公司,欧芹,对外制种,2022/4/9
广西万川种业有限公司,稻,试验,2022/4/14
袁氏种业高科技有限公司,稻,大田生产,2022/4/20
北京金农科种子科技有限公司,玉米,大田生产,2022/4/22
安徽昇谷农业科技有限公司,稻,试验,2022/4/24
袁氏种业高科技有限公司,稻,大田生产,2022/4/26
袁氏种业高科技有限公司,稻,大田生产,2022/4/26
北大荒垦丰种业股份有限公司,大豆,试验,2022/4/28
北大荒垦丰种业股份有限公司,豆类,试验,2022/4/28
北大荒垦丰种业股份有限公司,稻,试验,2022/4/27
北大荒垦丰种业股份有限公司,玉米,试验,2022/4/27
广西万川种业有限公司,玉米,大田生产,2022/5/5
广西万川种业有限公司,玉米,大田生产,2022/5/5
广西万川种业有限公司,玉米,大田生产,2022/5/5
广西万川种业有限公司,玉米,大田生产,2022/5/5
袁氏种业高科技有限公司,稻,试验,2022/5/6
安徽荃银种业科技有限公司,稻,大田生产,2022/5/17
安徽荃银种业科技有限公司,稻,大田生产,2022/5/17
安徽荃银种业科技有限公司,稻,大田生产,2022/5/17
安徽荃银种业科技有限公司,稻,大田生产,2022/5/17
安徽荃银种业科技有限公司,稻,大田生产,2022/5/17
安徽荃银种业科技有限公司,稻,大田生产,2022/5/17
安徽华韵生物科技有限公司,玉米,大田生产,2022/5/17
安徽华韵生物科技有限公司,玉米,大田生产,2022/5/17
安徽华韵生物科技有限公司,玉米,大田生产,2022/5/17
贵州筑农科种业有限责任公司,稻,大田生产,2022/5/25
贵州筑农科种业有限责任公司,玉米,大田生产,2022/5/25
广西万川种业有限公司,稻,大田生产,2022/5/27
广西万川种业有限公司,稻,大田生产,2022/5/27
广西万川种业有限公司,稻,大田生产,2022/5/27
广西万川种业有限公司,稻,大田生产,2022/5/27
广西万川种业有限公司,稻,大田生产,2022/5/27
广西万川种业有限公司,稻,大田生产,2022/5/27
安徽荃银种业科技有限公司,稻,大田生产,2022/6/2
安徽荃银种业科技有限公司,稻,大田生产,2022/6/2
安徽荃银种业科技有限公司,稻,大田生产,2022/6/2
安徽荃银种业科技有限公司,稻,大田生产,2022/6/2
科荟种业股份有限公司,稻,大田生产,2022/6/2
科荟种业股份有限公司,稻,大田生产,2022/6/2
科荟种业股份有限公司,稻,大田生产,2022/6/2
科荟种业股份有限公司,稻,大田生产,2022/6/6
科荟种业股份有限公司,稻,大田生产,2022/6/6
科荟种业股份有限公司,稻,大田生产,2022/6/6
酒泉拓源农业有限公司,番茄,对外制种,2022/6/13
酒泉拓源农业有限公司,莴苣,对外制种,2022/6/13
酒泉拓源农业有限公司,黄瓜,对外制种,2022/6/15
酒泉拓源农业有限公司,辣椒,对外制种,2022/6/15
酒泉拓源农业有限公司,菜豆,对外制种,2022/6/13
酒泉拓源农业有限公司,瓜类,对外制种,2022/6/13
酒泉拓源农业有限公司,莴苣,对外制种,2022/6/13
酒泉拓源农业有限公司,番茄,对外制种,2022/6/13
酒泉拓源农业有限公司,茄子,对外制种,2022/6/13
酒泉拓源农业有限公司,莴苣,对外制种,2022/6/13
酒泉拓源农业有限公司,番茄,对外制种,2022/6/13
酒泉拓源农业有限公司,菜豆,对外制种,2022/6/15
酒泉拓源农业有限公司,辣椒,对外制种,2022/6/15
酒泉拓源农业有限公司,番茄,对外制种,2022/6/15
酒泉拓源农业有限公司,瓜类,对外制种,2022/6/15
酒泉拓源农业有限公司,辣椒,对外制种,2022/6/15
酒泉拓源农业有限公司,南瓜,对外制种,2022/6/15
酒泉拓源农业有限公司,茄子,对外制种,2022/6/15
酒泉拓源农业有限公司,莴苣,对外制种,2022/6/13
酒泉拓源农业有限公司,瓜类,对外制种,2022/6/13
酒泉拓源农业有限公司,瓜类,对外制种,2022/6/13
酒泉拓源农业有限公司,甜瓜,对外制种,2022/6/13
酒泉拓源农业有限公司,西瓜,对外制种,2022/6/13
酒泉拓源农业有限公司,番茄,对外制种,2022/6/13
酒泉拓源农业有限公司,瓜类,对外制种,2022/6/13
酒泉拓源农业有限公司,瓜类,对外制种,2022/6/13
酒泉拓源农业有限公司,瓜类,对外制种,2022/6/13
酒泉拓源农业有限公司,辣椒,对外制种,2022/6/13
酒泉拓源农业有限公司,甜瓜,对外制种,2022/6/13
酒泉拓源农业有限公司,西瓜,对外制种,2022/6/13
合肥丰乐种业股份有限公司,稻,大田生产,2022/6/15
合肥丰乐种业股份有限公司,稻,大田生产,2022/6/15
安徽省创富种业有限公司,稻,大田生产,2022/6/22
江苏红旗种业股份有限公司,稻,大田生产,2022/6/21
袁隆平农业高科技股份有限公司,稻,大田生产,2022/6/22
袁隆平农业高科技股份有限公司,稻,大田生产,2022/6/22
袁隆平农业高科技股份有限公司,稻,大田生产,2022/6/22
袁隆平农业高科技股份有限公司,稻,大田生产,2022/6/22
袁隆平农业高科技股份有限公司,稻,大田生产,2022/6/22
袁隆平农业高科技股份有限公司,稻,大田生产,2022/7/6
袁隆平农业高科技股份有限公司,稻,大田生产,2022/7/6
袁隆平农业高科技股份有限公司,稻,大田生产,2022/7/6
袁隆平农业高科技股份有限公司,稻,大田生产,2022/7/6
袁隆平农业高科技股份有限公司,稻,大田生产,2022/7/6
袁隆平农业高科技股份有限公司,稻,大田生产,2022/7/6
广西万川种业有限公司,玉米,试验,2022/7/6
广西万川种业有限公司,玉米,试验,2022/7/6
广西万川种业有限公司,玉米,试验,2022/7/6
广西万川种业有限公司,玉米,试验,2022/7/6
先正达种苗（北京）有限公司,番茄,对外制种,2022/7/12
先正达种苗（北京）有限公司,番茄,对外制种,2022/7/12
先正达种苗（北京）有限公司,番茄,对外制种,2022/7/12
先正达种苗（北京）有限公司,番茄,对外制种,2022/7/12
先正达种苗（北京）有限公司,番茄,对外制种,2022/7/12
先正达种苗（北京）有限公司,番茄,对外制种,2022/7/12
安徽荃银种业科技有限公司,稻,大田生产,2022/7/13
安徽荃银种业科技有限公司,稻,大田生产,2022/7/13
安徽荃银种业科技有限公司,稻,大田生产,2022/7/13
安徽荃银种业科技有限公司,稻,大田生产,2022/7/13
安徽荃银种业科技有限公司,稻,大田生产,2022/7/13
安徽荃银种业科技有限公司,稻,大田生产,2022/7/13
安徽荃银种业科技有限公司,稻,大田生产,2022/7/13
安徽荃银种业科技有限公司,稻,大田生产,2022/7/13
安徽荃银种业科技有限公司,稻,大田生产,2022/7/13
安徽荃银种业科技有限公司,稻,大田生产,2022/7/13
安徽荃银种业科技有限公司,稻,大田生产,2022/7/13
安徽荃银种业科技有限公司,稻,大田生产,2022/7/13
安徽荃银种业科技有限公司,稻,大田生产,2022/7/13
安徽荃银种业科技有限公司,稻,大田生产,2022/7/13
安徽荃银种业科技有限公司,稻,大田生产,2022/7/13
安徽荃银种业科技有限公司,稻,大田生产,2022/7/13
袁氏种业高科技有限公司,稻,试验,2022/7/18
袁氏种业高科技有限公司,稻,试验,2022/7/18
袁氏种业高科技有限公司,稻,大田生产,2022/7/18
袁氏种业高科技有限公司,稻,大田生产,2022/7/19
袁氏种业高科技有限公司,稻,大田生产,2022/7/19
袁氏种业高科技有限公司,稻,大田生产,2022/7/19
袁氏种业高科技有限公司,稻,大田生产,2022/7/20
袁氏种业高科技有限公司,稻,大田生产,2022/7/20
四川泰谷农业科技有限公司,稻,大田生产,2022/7/26
四川禾嘉种业有限公司,稻,大田生产,2022/7/27
四川禾嘉种业有限公司,稻,大田生产,2022/7/27
江苏金华隆种子科技有限公司,玉米,大田生产,2022/7/29
江苏金华隆种子科技有限公司,玉米,大田生产,2022/7/29
江苏金华隆种子科技有限公司,玉米,大田生产,2022/7/29
江苏金华隆种子科技有限公司,玉米,大田生产,2022/7/29
江苏金华隆种子科技有限公司,玉米,大田生产,2022/7/29
江苏金华隆种子科技有限公司,玉米,大田生产,2022/7/29
江苏金华隆种子科技有限公司,玉米,大田生产,2022/7/29
江苏金华隆种子科技有限公司,玉米,大田生产,2022/7/29
江苏金华隆种子科技有限公司,玉米,大田生产,2022/7/29
江苏金华隆种子科技有限公司,玉米,大田生产,2022/7/29
江苏金华隆种子科技有限公司,玉米,大田生产,2022/7/29
江苏金华隆种子科技有限公司,玉米,大田生产,2022/7/29
袁氏种业高科技有限公司,稻,大田生产,2022/7/29
袁氏种业高科技有限公司,稻,大田生产,2022/7/29
袁氏种业高科技有限公司,稻,大田生产,2022/8/3
袁氏种业高科技有限公司,稻,大田生产,2022/8/4
科荟种业股份有限公司,稻,大田生产,2022/8/5
