申请单位,作物名称,用途,申请日期
云南禄丰勤攀现代农业开发有限公司,菠萝,试验,2022/1/2
云南禄丰勤攀现代农业开发有限公司,菠萝,试验,2022/1/2
福建欣华闽种业有限公司,蕹菜,可转让和销售,2022/1/3
福建欣华闽种业有限公司,蕹菜,可转让和销售,2022/1/3
福建欣华闽种业有限公司,蕹菜,可转让和销售,2022/1/3
福建欣华闽种业有限公司,蕹菜,可转让和销售,2022/1/3
福建欣华闽种业有限公司,蕹菜,可转让和销售,2022/1/3
福建欣华闽种业有限公司,蕹菜,可转让和销售,2022/1/3
福建欣华闽种业有限公司,蕹菜,可转让和销售,2022/1/3
福建欣华闽种业有限公司,蕹菜,可转让和销售,2022/1/3
福建欣华闽种业有限公司,蕹菜,可转让和销售,2022/1/3
北京绿冠生态科技股份有限公司,甜菜种子,试验,2022/1/4
北京绿冠生态科技股份有限公司,甜菜种子,试验,2022/1/4
北京绿冠生态科技股份有限公司,甜菜种子,试验,2022/1/4
北京绿冠生态科技股份有限公司,甜菜种子,试验,2022/1/4
北京绿冠生态科技股份有限公司,甜菜种子,试验,2022/1/4
北京绿冠生态科技股份有限公司,甜菜种子,试验,2022/1/4
北京绿冠生态科技股份有限公司,甜菜种子,试验,2022/1/4
北京绿冠生态科技股份有限公司,甜菜种子,试验,2022/1/4
北京金色谷雨种业科技有限公司,玉米,试验,2022/1/4
北京金色谷雨种业科技有限公司,荞麦,试验,2022/1/4
北京金色谷雨种业科技有限公司,荞麦,试验,2022/1/4
北京金色谷雨种业科技有限公司,荞麦,试验,2022/1/4
中蔬种业集团有限公司,蕹菜,可转让和销售,2022/1/4
中蔬种业集团有限公司,蕹菜,可转让和销售,2022/1/4
北京金色谷雨种业科技有限公司,菊苣,可转让和销售,2022/1/4
北京金色谷雨种业科技有限公司,菊苣,可转让和销售,2022/1/4
圣尼斯种子（北京）有限公司,辣椒,对外制种,2022/1/4
圣尼斯种子（北京）有限公司,辣椒,对外制种,2022/1/4
圣尼斯种子（北京）有限公司,番茄,试验,2022/1/4
圣尼斯种子（北京）有限公司,番茄,试验,2022/1/4
北京金色谷雨种业科技有限公司,玉米,可转让和销售,2022/1/4
酒泉拓源农业有限公司,豌豆,对外制种,2022/1/4
酒泉拓源农业有限公司,豌豆,对外制种,2022/1/4
江苏中江种业股份有限公司,草莓,可转让和销售,2022/1/4
北京奥立沃种业科技有限公司,玉米,试验,2022/1/4
河北捷如美农业科技开发有限公司,白花菜,试验,2022/1/4
河北捷如美农业科技开发有限公司,白花菜,试验,2022/1/4
河北捷如美农业科技开发有限公司,白花菜,试验,2022/1/4
河北捷如美农业科技开发有限公司,白花菜,试验,2022/1/4
山西晓庄贸易有限公司,辣椒,对外制种,2022/1/5
山西晓庄贸易有限公司,辣椒,对外制种,2022/1/5
山西晓庄贸易有限公司,辣椒,对外制种,2022/1/5
山西晓庄贸易有限公司,辣椒,对外制种,2022/1/5
山西晓庄贸易有限公司,菜椒,对外制种,2022/1/5
山西晓庄贸易有限公司,菜椒,对外制种,2022/1/5
酒泉市众禾农业发展有限责任公司,西瓜,对外制种,2022/1/5
酒泉市众禾农业发展有限责任公司,紫苏,对外制种,2022/1/5
酒泉市众禾农业发展有限责任公司,南瓜,对外制种,2022/1/5
酒泉市众禾农业发展有限责任公司,南瓜,对外制种,2022/1/5
酒泉市众禾农业发展有限责任公司,生菜,对外制种,2022/1/5
山东诺尔种苗有限公司,大葱,可转让和销售,2022/1/5
万农高科集团有限公司,蕹菜,可转让和销售,2022/1/5
上海惠和种业有限公司,青菜,可转让和销售,2022/1/5
上海惠和种业有限公司,青花菜,可转让和销售,2022/1/5
上海惠和种业有限公司,萝卜,可转让和销售,2022/1/5
上海惠和种业有限公司,萝卜,可转让和销售,2022/1/5
上海惠和种业有限公司,胡萝卜,可转让和销售,2022/1/5
上海惠和种业有限公司,胡萝卜,可转让和销售,2022/1/5
张掖市弘一种业有限责任公司,生菜,对外制种,2022/1/5
上海惠和种业有限公司,种用向日葵,试验,2022/1/5
北大荒垦丰种业股份有限公司,玉米,试验,2022/1/5
北大荒垦丰种业股份有限公司,玉米,试验,2022/1/5
北大荒垦丰种业股份有限公司,玉米,试验,2022/1/5
北大荒垦丰种业股份有限公司,玉米,试验,2022/1/5
北大荒垦丰种业股份有限公司,玉米,试验,2022/1/5
北京奥立沃种业科技有限公司,番茄,可转让和销售,2022/1/6
北京奥立沃种业科技有限公司,番茄,可转让和销售,2022/1/6
北京奥立沃种业科技有限公司,番茄,可转让和销售,2022/1/6
北京奥立沃种业科技有限公司,番茄,可转让和销售,2022/1/6
上海惠和种业有限公司,茄,可转让和销售,2022/1/6
上海惠和种业有限公司,茄,可转让和销售,2022/1/6
上海惠和种业有限公司,黄瓜,可转让和销售,2022/1/6
